flight_id,record_id,ALT [ft],Q_1 [lb/h],Q_2 [lb/h],TLA_1 [deg],TLA_2 [deg],NAIV_1 [bool],NAIV_2 [bool],M [Mach],Duree_min,Consommation_totale_kg,AntiIce_ON
Aircraft_01.h5,record_125,767,479.19177390429206,494.0358964680678,-0.1703554911971578,-0.20742673136722295,0.0,0.0,0.180765981,12.783333333333333,94.05300970762964,0
Aircraft_01.h5,record_126,1581,742.261233608845,799.6752792339836,1.4671221056372803,1.40542923597284,0.0,0.0,0.197199252,26.35,307.15758764042005,0
Aircraft_01.h5,record_127,1199,800.9337582264086,869.5938951638099,1.4543614410167975,1.4106723263061554,0.0,0.0,0.1889826165,19.983333333333334,252.36884368014847,0
Aircraft_01.h5,record_128,1969,703.8401736938507,752.2596320706065,1.236617530866643,1.2475333446529813,0.0,0.0,0.197199252,32.81666666666667,361.24325396573266,0
Aircraft_01.h5,record_129,1653,592.5242668057301,639.4332678818681,1.1403283173068604,1.1413516996574713,0.0,0.0,0.1889826165,27.55,256.58512601898616,0
Aircraft_01.h5,record_13,1533,742.3228922669537,795.8429399836764,2.0697628211067842,2.0519406927780954,1.0,1.152732554,0.197199252,25.55,297.10379580759866,1
Aircraft_01.h5,record_130,1064,838.5885347305865,901.7905004123384,1.8880796047072557,1.920879409585376,0.0,0.0,0.1889826165,17.733333333333334,233.3180599378602,0
Aircraft_01.h5,record_131,1254,753.0498429799362,806.1851670384369,1.550134961308198,1.5301586142911963,0.0,0.0,0.1889826165,20.9,246.3610234547151,0
Aircraft_01.h5,record_132,1394,921.9784141273458,996.9711301419511,1.4138789415640605,1.4142363490152654,0.0,0.0,0.197199252,23.233333333333334,337.04602927438145,0
Aircraft_01.h5,record_133,1333,964.1694743387247,1042.5939650546736,1.4785800784248315,1.478953841355799,0.0,0.0,0.197199252,22.216666666666665,337.04602927438145,0
Aircraft_01.h5,record_134,737,629.5500998118209,651.2412915305183,0.9883554675924289,1.022816714112266,0.0,0.0,0.1889826165,12.283333333333333,118.93475253115359,0
Aircraft_01.h5,record_135,625,742.3654776980992,767.9437309727872,1.16496822406784,1.2061054692811841,0.0,0.0,0.1889826165,10.416666666666666,118.93475253115359,0
Aircraft_01.h5,record_136,1534,648.0690860853299,698.3515743131578,1.47414828881648,1.4519569066608866,0.0,0.0,0.197199252,25.566666666666666,260.2369811260323,0
